[0:00:04] 这哪个是正确的取决于我最后墨哪个
[4:39:38] 把這噩夢神打得成最後一滴血
[4:39:40] 然後給噩夢神放了個蘑菇包子
[4:39:42] 對面睡著了直接死了
[4:40:56] 我才是小丑
[4:41:00] 我没想到这个游戏
[4:41:02] 都发售到今天了还能再坑我
[4:41:05] 10个小时
[4:41:17] 我简直想弄死我自己
[4:41:27] 怎么会这样
[4:41:44] 有一个孙子他要一只小丑鱼
[4:41:48] 但是我的那只小丑鱼已经正化成美纳斯了
[4:41:52] 他不要
[4:45:08] 哎呦这怎么又出新的麻子了
[4:45:18] 别这样吧
[4:47:28] 这是干什么
[4:47:30] 这不就是
[4:48:00] 关公和斗尔顿吗
[4:48:04] 哪个是关公哪个是斗尔顿来着
[4:48:07] 打击鬼是关公
[4:48:10] 头摔鬼是斗尔顿吗
[4:49:29] 你们没觉得我这个颜色不对吗
[4:51:35] 他妈的他为什么八十截
[4:51:37] 我操他为什么会逆铃
[4:52:13] 能别重来一遍吗
[4:52:57] 我的天哪
[4:53:05] 这游戏快饿 心死我了
[4:55:19] 太有体育精神了
[4:55:23] 吃了50多个药才来
[4:55:25] 哎呀 马上就要大结局了
[4:55:53] 太好了 眼前是塔
[4:56:22] 零净塔 花巾河畔
[4:56:24] 屋顶有阳散和桌椅
[4:56:26] 重心咖啡盒
[4:56:29] 他还说还得有保可梦
[4:57:17] 保可梦争心
[4:57:20] 四季云和咖啡馆
[4:57:38] 只能从这个河入手了
[4:57:55] 又有争心 又有果儿
[4:57:57] 还能看见塔
[4:58:05] 什么他们花巾和田
[4:58:19] 你们说什么呢
[4:58:21] 这他们是人能想出来的
[4:58:44] 哎 这不有散吗
[5:01:11] 我今天必须得完结了
[5:01:14] 明日复明日明日和其多
[5:01:17] 我不想再花一天时间再恶心我自己
[5:01:21] 太愤怒
[5:02:22] 怎么这也那么像早明
[5:02:48] 难道不像吗
[5:02:54] 能看见这个塔和广告牌
[5:04:22] 这个塔在这
[5:04:24] 然后下半水梯
[5:04:27] 那就在这附近
[5:04:45] 我从这上去一看不就行了
[5:05:35] 不就是这样
[5:05:52] 他做的是哪个椅子
[5:06:00] 应该往右移动吧
[5:06:11] 感觉在前套啊
[5:06:51] 不会是在这个楼上吧
[5:07:23] 好像是站
[5:07:24] 因为左边有一个圈起来的建筑
[5:07:38] 对对对对对就是这
[5:07:44] 那就是这个椅子
[5:07:52] 不就是面前这个椅子吗
[5:08:37] 他耳朵上怎么带俩泰勒巴克斯
[5:08:40] 这不够还原吗
[5:10:14] 这还不够怀疑人吗
[5:10:58] 我,我,是不是还得挽上啊
[5:11:13] 他不会得挽上吧
[5:13:46] 这总行了吧
[5:14:10] 广告牌的内容不一样
[5:14:21] 得在互动的时候点A
[5:14:23] 自己拍的不行
[5:14:45] 我怎么让他跟我互动了
[5:15:43] 退出?
[5:15:47] 真他妈恶心
[5:15:48] 怎么还有锦盖
[5:16:37] 流红区的锦盖是什么
[5:16:39] 流红区在哪
[5:17:04] 这不他们竞争球锦盖
[5:17:11] 全是波波的声音
[5:17:44] 懂事的
[5:18:56] 哇哦,就剩下最后一个任务
[5:19:04] 终于可以在那
[5:19:19] 只能携带岩舞狼一句
[5:20:01] 凭什么逆属性打我
[5:21:01] 我操这
[5:21:31] 你这过分了
[5:21:48] 这他妈
[5:22:09] 他全是逆属性大师
[5:22:20] 这有一草
[5:22:25] 那火系的
[5:22:27] 日光刃
[5:22:54] 雷电拳
[5:22:56] 要他们中了
[5:25:08] 速度太慢了
[5:25:21] 那我就上来什么都不干了
[5:25:23] 就等着他出交
[5:30:00] 我怎么感觉这些药白买了
[5:30:18] 为什么要这么对我
[5:30:31] 其实他们对面肯定都是草的吧
[5:31:36] 可以想象全是草
[5:31:49] 草它还有建物
[5:32:28] 最后还有暴风许
[5:33:08] 你可太弱兵了吧
[5:34:01] 这不防弹背些任务
[5:34:08] 太好了终于结束了
[5:34:48] 没想到我有完成所有任务的一天
[5:35:13] 居然没有麻烦
[5:35:29] 真的没有麻烦了
[5:35:39] 真的没有麻烦
[5:37:18] 这个经验糖果
[5:37:25] 最高只能换到L是吗
[5:37:29] 还100一个
[5:37:31] 一点脸都不一样
[5:38:06] 怎么还有模拟器
[5:39:06] 这才70级啊
[5:40:17] 这猴真的撕
[5:40:21] 还有记录
[5:40:22] 是全部对战
[5:40:37] 不能替换宝可梦
[5:40:39] 一旦失败,但可以回复三次
[5:41:00] 我可以带三只四马虹
[5:41:10] 我带三只四马虹可以
[5:41:30] 你带四个猴两个难挂过
[5:41:33] 真糟糕
[5:41:34] 是不是这场结束了,我的愤怒之权就
[5:44:10] 就没有了
[5:49:12] 能烧伤的好像就这玩意
[5:49:15] 和那个和那火缸吧
[5:49:18] 那火缸还能用一次
[5:52:01] 还有中毒啊,哇嗦
[5:52:07] 真的吗
[5:53:06] 这个中毒可以一直想狗的
[5:53:08] 为什么呢,因为他有贝克之灵
[5:53:12] 他这个贝克之灵可以一直回血
[5:53:17] 所以不怕中毒
[5:53:18] 他们本身就有一个领埋
[6:03:33] 哎如果让他电龙麻一下是不是就行了
[6:03:38] 如果让他电龙麻一下是不是之后就不会中任何异常了
[6:04:39] 哎好麻了
[6:04:40] 太积极了
[6:05:12] 再也不用回复
[6:05:14] 我怎么动不了的
[6:08:52] 我炒飞出几块
[6:12:10] 这麻痺的猴哥真是一个完美的猴哥
[6:12:14] 要不你先中一个
[6:12:53] 忘了给他上属性了
[6:13:43] 我说怎么那么慢
[6:13:44] 这都能中
[6:14:33] 这一拳是不是过分了
[6:14:53] 这猴太可怕
[6:15:03] 我让电龙给他上一麻痺
[6:15:06] 这想法太好
[6:15:09] 要不然根本打不到这
[6:15:52] 对着这个猴用他们整个机关枪
[6:16:00] 直接叠了
[6:17:39] 被缩了是吗
[6:17:43] 没打出来
[6:20:58] 金身战没用
[6:21:01] 他虽然是4倍但是他的雾耐材
[6:21:07] 金身战不如等倍的350
[6:21:09] 等倍的分度拘权
[6:21:32] 你打这么半天
[6:21:33] 如果你要是用金身战的话基本上不掉血
[6:21:36] 好 头死了
[6:22:17] 应该收回去的
[6:22:18] 这下坏了
[6:22:24] 这下过不了火缸了
[6:22:48] 这玩意雾耐
[6:22:50] 根本打不动
[6:22:52] 他雾耐太吓人了
[6:24:29] 这火缸在第几个样子
[6:28:58] 这是第几只人
[6:29:07] 前面两次恢复浪费了
[6:29:12] 应该现在电龙那给他个麻痹
[6:29:25] 这一只猴就能过了
[6:29:27] 都用不着
[6:29:29] 第二只猴
[6:33:31] 一共多少隻
[6:33:32] 一共27
[6:33:51] 那很快了
[6:33:53] 一點獎勵都沒有什麼必須打完了
[6:34:02] 有沒有什麼辦法
[6:34:08] 有沒有什麼辦法讓他上場直接麻痺
[6:34:11] 就是我隊友放一個什麼
[6:34:16] 然後這個司馬猴一踩直接麻了
[6:34:25] 有這種可能
[6:34:26] 帶三個猴我擦
[6:34:57] 帶三猴還有什麼玩的必要嗎
[6:35:15] 我感覺帶兩猴這種意思沒有玩的必要
[6:35:18] 兩個難怪四個猴
[6:35:41] 那也太下緣了吧
[6:35:45] 那我走了
[6:36:05] 終於清了呢
[6:36:22] 沒有麻痺的地圖
[6:36:37] 我看我還有猴
[6:36:58] 我這還真有個閃光頭目
[6:37:00] 太畜生了
[6:37:17] 這個練好之後
[6:37:18] 應該比我現在用的那個猴大兩圈
[6:37:35] 你看我現在這個體型是XS
[6:37:42] 這也大三圈
[6:37:51] 剛才這隻猴是最小的
[6:37:53] 然後這個猴練完了以後是最大的
[6:37:56] 當時為什麼不用這個
[6:38:03] 這個猴怪是後期抓的
[6:38:09] 這個猴怪是跟什麼在一塊來的
[6:38:12] 這個猴怪好像是
[6:38:15] 是跟愛管室在一塊
[6:38:23] 然後刷這個愛管室的時候
[6:38:25] 我記得好像是刷愛管室的時候
[6:38:29] 然後刷出一堆這個猴
[6:38:34] 這是格鬥是嗎
[6:38:36] 那我是刷什麼刷出一堆這個猴
[6:38:38] 哪個格鬥真是
[6:38:45] 我都不記得
[6:38:46] 反正這個頭目的這個猴是
[6:39:03] 是後來刷別的東西的副產品
[6:39:07] 然後我現在用的這隻是
[6:39:12] DLC剛發售的時候
[6:39:14] 第一天轉
[6:39:23] 我下次開這遊戲的時候
[6:39:25] 把它養大的
[6:39:26] 我帶著兩隻去
[6:39:27] 要是能雙打就好了
[6:39:38] 雙打我帶隻皮卡丘
[6:39:41] 吵我這猴先放一電磁波
[6:39:45] 然後就麻了
[6:39:59] 神秘守護
[6:40:00] 我是不是有持續時間呀,神秘守護持續時間多少啊,那難關是草屬性的呀,那對面能讓你燒傷的全是火屬性的
[6:40:18] 那那個難關中一個技能的不死了,我感覺還是麻痺最好用,麻痺它只會減少這個走動的這個速度,還是直接麻吧
[6:40:39] 這座除了減少走動的速度之外,沒有別的副作用,就沒有那種關鍵的一個技能麻痺不能動的這種情況,拜拜
